date,close,volume,pnl
4/22/19,2907.97,2997950000,-767655.1732
4/18/19,2905.03,3506850000,-87783.20534
4/17/19,2900.45,3602300000,-136750.7076
4/16/19,2907.06,3402210000,197362.9209
4/15/19,2905.58,3088330000,-44190.185
4/12/19,2907.41,3688490000,54640.56659
4/11/19,2888.32,2938540000,-569993.6701
4/10/19,2888.21,3062380000,-3284.405642
4/9/19,2878.2,3007980000,-298880.9134
4/8/19,2895.77,3054030000,524609.1557
4/5/19,2892.74,3146820000,-90470.44632
4/4/19,2879.39,3015180000,-398607.412
4/3/19,2873.4,3550240000,-178850.8163
4/2/19,2867.24,3246900000,-183926.716
4/1/19,2867.19,3500760000,-1492.911655
3/29/19,2834.4,3740700000,-979051.4637
3/28/19,2815.44,3158170000,-566112.0998
3/27/19,2805.37,3372930000,-300672.4074
3/26/19,2818.46,3266050000,390844.2714
3/25/19,2798.36,3376580000,-600150.4855
3/22/19,2800.71,4237200000,70166.84781
3/21/19,2854.88,3546800000,1617420.488
3/20/19,2824.23,3771200000,-915154.8448
3/19/19,2832.57,3620220000,249017.6641
3/18/19,2832.94,3552190000,11047.54625
3/15/19,2822.48,5962730000,-312317.1183
3/14/19,2808.48,3469730000,-418015.2635
3/13/19,2810.92,3766150000,72854.08879
3/12/19,2791.52,3414230000,-579249.7223
3/11/19,2783.3,3749030000,-245434.6762
3/8/19,2743.07,3423130000,-1201196.718
3/7/19,2748.93,3904860000,174969.246
3/6/19,2771.45,3786600000,672407.4096
3/5/19,2789.65,3585690000,543419.8426
3/4/19,2792.81,3919810000,94352.01663
3/1/19,2803.69,3972280000,324857.5762
2/28/19,2784.49,4396930000,-573278.0757
2/27/19,2792.38,3767130000,235581.4592
2/26/19,2793.9,3645680000,45384.51433
2/25/19,2796.11,3804380000,65986.69517
2/22/19,2792.67,3427810000,-102712.3219
2/21/19,2774.88,3559710000,-531177.967
2/20/19,2784.7,3835450000,293207.8491
2/19/19,2779.76,3533710000,-147499.6716
2/15/19,2775.6,3641370000,-124210.2497
2/14/19,2745.73,3836700000,-891865.423
2/13/19,2753.03,3670770000,217965.1017
2/12/19,2744.73,3827770000,-247823.3348
2/11/19,2709.8,3361970000,-1042948.083
2/8/19,2707.88,3622330000,-57327.80757
2/7/19,2706.05,4099490000,-54640.56659
2/6/19,2731.61,3472690000,763176.4383
2/5/19,2737.7,3560430000,181836.6396
2/4/19,2724.87,3359840000,-383081.1308
2/1/19,2706.53,3759270000,-547599.9952
